¿Cuál es la proporción recomendada por la ciencia para los ácidos grasos esenciales Omega-6 y Omega-3?,Una proporción de 3:1.
"Según las estadísticas de Zinzino, ¿qué porcentaje de personas que toman BalanceOil+ a diario alcanzan una proporción Omega-6:3 cercana a 3:1 después de 120 días?",El 95%.
"En el informe del BalanceTest, un equilibrio Omega-6:3 de 22:1 se considera ____.",Desequilibrado
¿Qué indicador del BalanceTest mide la suma de EPA + DHA en la sangre?,El Índice de Omega-3.
"Para un adulto de 80 kg, ¿cuántos gramos de omega-3 (EPA + DHA) se necesitan al día para mantener los niveles por encima del 8%?",Aproximadamente 3 gramos.
¿Qué objetivo de proporción se recomienda para el indicador de 'Fuerza mental' en el BalanceTest?,Un valor por debajo de 1:1.
El BalanceTest de Zinzino mide 11 ácidos grasos diferentes que juntos constituyen aproximadamente el ____% de los ácidos grasos en la sangre.,98%
¿Qué mide el indicador 'Fluidez de la membrana celular'?,La relación entre los ácidos grasos saturados y los ácidos grasos omega-3 (EPA y DHA).
Un índice de ácido araquidónico (AA) elevado en el BalanceTest se sitúa por encima del ____%.,9.5%
"Para reducir los niveles de omega-6, se aconseja evitar aceites vegetales como el de girasol, el de maíz o el de ____.",soja
La fórmula de BalanceOil+ contiene un 60% de aceite de pescado puro y un ____% de aceite de oliva virgen extra.,40%
¿De qué tipo de peces se obtiene el aceite de pescado para BalanceOil+?,"Peces grasos de captura salvaje y pequeños, como sardinas, caballa y anchoas."
¿Quién realiza el análisis independiente de las muestras de sangre para el BalanceTest?,"El laboratorio de análisis químico Vitas en Oslo, Noruega."
¿Qué tipo de antioxidantes se incluyen en la fórmula de BalanceOil+ para prevenir la oxidación?,Polifenoles de aceitunas orgánicas y tocoferoles naturales.
"El valor ToTox de BalanceOil+ antes de añadir polifenoles está entre 2,3 y 12, muy por debajo del límite de la organización ____.",GOED (Global Organization for EPA & DHA Omega-3)
¿Qué indica un Índice de Estabilidad Oxidativa (OSI) de 35 horas para BalanceOil+?,"Una estabilidad y calidad excepcionales, validando la eficacia de sus antioxidantes."
¿Qué certificación garantiza que el pescado para BalanceOil+ se obtiene de forma sostenible?,La certificación Friend of the Sea.
"Además de la forma líquida, ¿qué otros formatos de suplementos Zinzino se mencionan?","Cápsulas, una fórmula soluble en agua y una alternativa vegana."
BalanceOil+ está hecho con aceite de oliva virgen extra de la aceituna ____ española.,Picual
¿Qué dos componentes principales combina la formulación científica de BalanceOil+?,Un grado único de aceite de pescado con una cantidad científicamente probada de aceite de oliva.
Los polifenoles del aceite de oliva contribuyen a la protección de los ____ de la sangre contra el daño oxidativo.,lípidos
¿Cuál es la proporción promedio de Omega-6:3 para las personas en Europa que no consumen un suplemento de Omega-3?,15:1.
¿Qué empresa líder mundial procesa el aceite de pescado para Zinzino en Islandia?,Lysi.
El aceite de pescado utilizado en BalanceOil+ tiene un grado único de ____ EPA/DHA.,20/10
¿De dónde se obtiene la vitamina D3 natural utilizada en BalanceOil+?,"De la lanolina, una grasa natural que se encuentra en la lana de oveja."
Una dosis diaria de 12 ml de BalanceOil+ contiene ____ mg de EPA.,1283 mg
Una dosis diaria de 12 ml de BalanceOil+ contiene ____ mg de DHA.,683 mg
¿Qué nutriente en BalanceOil+ contribuye al funcionamiento normal del sistema inmunitario?,La vitamina D3.
¿Cuál es la dosis diaria recomendada de BalanceOil+?,"0,15 ml por kilo de peso corporal."
"Una vez abierto, ¿dónde se debe almacenar un frasco de BalanceOil+ y en cuánto tiempo debe usarse?",En un refrigerador y debe usarse en un plazo máximo de 45 días.
"El DHA contribuye al mantenimiento de la ____ normal, con un consumo diario de 250 mg.",visión
"La sustitución de grasas saturadas por grasas no saturadas, como el ácido oleico (Omega-9), contribuye a mantener niveles normales de ____ en la sangre.",colesterol
¿Qué es el ácido araquidónico (AA)?,Es el ácido graso omega-6 más importante que el cuerpo no puede producir y debe ser ingerido a través de la dieta.
El AA es el punto de partida para la producción de hormonas involucradas en los procesos de ____ fisiológica.,inflamación
El objetivo óptimo para el índice de AA en el cuerpo es del ____%.,8.3%
"Si el valor de AA está por encima del 10%, se recomienda evitar alimentos como pollo, pavo, cerdo y ____.",salmón de cría
"El exceso de carbohidratos en la dieta se convierte en ____, que se conservan en las membranas celulares y tejidos adiposos.",ácidos grasos saturados
El equilibrio entre omega-6 (AA) y omega-3 (EPA) debe mantenerse preferiblemente por debajo de ____.,3:1
¿Qué se calcula en el 'Valor de protección' del BalanceTest?,"Se calcula a partir de tres indicadores: el ratio de omega-6, el nivel de omega-3 (EPA+DHA) y el valor de equilibrio (AA/EPA)."
"En el informe del BalanceTest, la proporción ideal del Índice de Omega-3 es del ____% o superior.",8%
"¿Qué ácido graso omega-3 domina en el cerebro, el esperma y los ojos?",El DHA (ácido docosahexaenoico).
"¿Qué ácido graso omega-3 domina en la sangre, los músculos y los tejidos?",El EPA (ácido eicosapentaenoico).
La relación ideal para la 'Fluidez de la membrana celular' debe mantenerse por debajo de ____.,4:1
"Además de la carne, ¿qué productos se mencionan como fuentes principales de grasas saturadas?","Productos lácteos grasos, pasteles, dulces y comida rápida."
Concepto: Prostaglandina E2 (PG E2),"Definición: Producida a partir de ácidos grasos omega-6 (AA), está involucrada en procesos de inflamación y dolor en el cuerpo."
Concepto: Prostaglandina E3 (PG E3),"Definición: Producida a partir del ácido graso omega-3 EPA, tiene una función antiinflamatoria en el cuerpo."
¿Qué ocurre cuando existe un desequilibrio entre la producción de radicales libres y la defensa antioxidante del cuerpo?,Se produce un estado llamado estrés oxidativo.
¿Qué componentes importantes se eliminan del aceite de pescado durante el proceso de refinado comercial?,"Antioxidantes naturales, vitaminas y otros componentes secundarios como los polifenoles."
¿Cuál es la sede central de la empresa Zinzino?,En Suecia.
Los ácidos grasos omega-3 en el aceite de pescado de Zinzino se conservan en su forma natural de ____.,triglicérido
El aceite de oliva virgen extra en BalanceOil+ proviene de aceitunas de calidad ____ y se prensa en frío.,precosecha
"La vitamina D3 de BalanceOil+ contribuye al mantenimiento normal de los huesos, la función muscular y los ____.",dientes
¿Qué advertencia se da a las personas que toman medicación anticoagulante antes de usar BalanceOil+?,Deben consultar con su médico.
"Según la EFSA, ¿qué cantidad diaria de EPA y DHA contribuye al funcionamiento normal del corazón?",Un consumo diario de 250 mg de EPA y DHA.
Los polifenoles del aceite de oliva en BalanceOil+ provienen de la variedad Picual y superan los ____ mg/kg.,750
El consumo diario de ____ g de EPA y DHA contribuye al mantenimiento de una presión arterial normal.,3
El consumo diario de ____ g de EPA y DHA contribuye a mantener los niveles adecuados de triglicéridos en la sangre.,2
El informe del BalanceTest indica que el cambio en las membranas celulares se puede apreciar tras ____ días de una dieta sana.,120
¿Qué ácido graso Omega-9 es importante en el aceite de oliva y apoya la normalización de los niveles de colesterol?,Ácido oleico.
¿Qué significa la certificación GMP que poseen los productos BalanceOil+?,"Significa 'Good Manufacturing Practices' (Buenas Prácticas de Fabricación), asegurando calidad y seguridad."
Los tocoferoles naturales usados como antioxidantes en BalanceOil+ provienen de destilados de aceite de ____ altamente refinados y sin transgénicos.,soja
El aceite de pescado de BalanceOil+ se extrae exclusivamente de pesquerías certificadas antes de ser procesado en ____.,Islandia
La ingesta materna de DHA contribuye al desarrollo normal del ____ del feto y de los lactantes.,cerebro
"¿Cuál es la proporción promedio de Omega-6:3 en Estados Unidos, según Zinzino?",25:1.
